classes,count,,,,,
http://dbpedia.org/ontology/Place,412124,,,,,
http://dbpedia.org/ontology/Airport,382336,,,,,
http://www.w3.org/2002/07/owl#Thing,64372,,,,,
http://dbpedia.org/ontology/Person,56088,,,,,
http://dbpedia.org/ontology/MusicalArtist,27631,,,,,
http://dbpedia.org/ontology/PopulatedPlace,10098,,,,,
http://xmlns.com/foaf/0.1/Person,7118,,,,,
http://dbpedia.org/ontology/Film,6709,,,,,
http://www.w3.org/2002/07/owl#Class,6630,,,,,nico
http://www.w3.org/2002/07/owl#ObjectProperty,4150,,,,,
http://dbpedia.org/ontology/Work,4025,,,,,
http://dbpedia.org/ontology/Band,3616,,,,,
http://dbpedia.org/ontology/Settlement,3425,,,,,
http://dbpedia.org/ontology/Company,3147,,,,,
http://umbel.org/umbel/rc/PopulatedPlace,2915,,,,,
http://www.w3.org/2002/07/owl#DatatypeProperty,2770,,,,,
http://dbpedia.org/ontology/Event,2639,,,,,
http://schema.org/Place,2513,,,,,
http://www.ontologydesignpatterns.org/ont/d0.owl#Location,2493,,,,,
http://dbpedia.org/class/yago/YagoGeoEntity,2261,,,,,
http://dbpedia.org/ontology/Organisation,1639,,,,,
http://www.ontologydesignpatterns.org/ont/d0.owl#Company,1576,,,,,
http://dbpedia.org/ontology/Album,1481,,,,,
http://dbpedia.org/ontology/Country,1344,,,,,
http://dbpedia.org/ontology/Location,1220,,,,,
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,1191,,,,,
http://dbpedia.org/class/yago/Company108058098,1118,,,,,
http://dbpedia.org/class/yago/Organization108008335,1113,,,,,
http://dbpedia.org/class/yago/Group100031264,1113,,,,,
http://dbpedia.org/class/yago/SocialGroup107950920,1113,,,,,
http://dbpedia.org/class/yago/Enterprise108056231,1112,,,,,
http://dbpedia.org/class/yago/Business108061042,1112,,,,,
http://umbel.org/umbel/rc/Organization,1112,,,,,
http://schema.org/Organization,1112,,,,,
http://dbpedia.org/class/yago/Institution108053576,1111,,,,,
http://dbpedia.org/class/yago/Manufacturer108060446,1111,,,,,
http://umbel.org/umbel/rc/Business,1111,,,,,
http://dbpedia.org/class/yago/LivingPeople,852,,,,,
http://umbel.org/umbel/rc/Location,845,,,,,
http://dbpedia.org/ontology/City,727,,,,,
http://dbpedia.org/ontology/Actor,595,,,,,
http://schema.org/City,581,,,,,
http://dbpedia.org/ontology/Agent,571,,,,,
http://schema.org/Country,569,,,,,
http://umbel.org/umbel/rc/City,547,,,,,
http://umbel.org/umbel/rc/Country,529,,,,,
http://dbpedia.org/ontology/Book,513,,,,,
http://dbpedia.org/class/yago/AmericanMaleSingers,492,,,,,
http://dbpedia.org/ontology/CareerStation,485,,,,,
http://dbpedia.org/ontology/PublicService,467,,,,,
http://dbpedia.org/class/yago/AmericanFemaleSingers,443,,,,,
http://dbpedia.org/ontology/Region,435,,,,,
http://dbpedia.org/class/yago/Vacation115137890,401,,,,,
http://dbpedia.org/ontology/SoccerPlayer,353,,,,,
http://umbel.org/umbel/rc/Place,312,,,,,
http://umbel.org/umbel/rc/Village,303,,,,,
http://yago-knowledge.org/resource/YagoGeoEntity,296,,,,,
http://dbpedia.org/ontology/AdministrativeRegion,281,,,,,
http://schema.org/AdministrativeArea,273,,,,,
http://www.wikidata.org/entity/Q11173,242,,,,,
http://dbpedia.org/ontology/TelevisionEpisode,240,,,,,
http://dbpedia.org/ontology/State,223,,,,,
http://dbpedia.org/ontology/Software,222,,,,,
http://dbpedia.org/class/yago/AfricanAmericanMusicians,211,,,,,
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,211,,,,,
http://dbpedia.org/class/yago/EnglishMaleSingers,207,,,,,
http://dbpedia.org/class/yago/AmericanRockGuitarists,184,,,,,
http://dbpedia.org/class/yago/AmericanRockSingers,180,,,,,
http://dbpedia.org/ontology/Eukaryote,178,,,,,
http://dbpedia.org/class/yago/AmericanPopSingers,178,,,,,
http://dbpedia.org/ontology/Town,174,,,,,
http://dbpedia.org/class/yago/AmericanCountrySingers,173,,,,,
http://dbpedia.org/class/yago/AmericanFilmActors,170,,,,,
http://dbpedia.org/class/yago/EnglishSongwriters,168,,,,,
http://umbel.org/umbel/rc/Town,164,,,,,
http://dbpedia.org/class/yago/Country108544813,154,,,,,
http://umbel.org/umbel/rc/Region,150,,,,,
http://dbpedia.org/class/yago/StatesOfTheUnitedStates,150,,,,,
http://dbpedia.org/ontology/Writer,150,,,,,
http://umbel.org/umbel/rc/State,147,,,,,
http://dbpedia.org/class/yago/AmericanTelevisionActors,140,,,,,
http://dbpedia.org/class/yago/LeadGuitarists,135,,,,,
http://dbpedia.org/class/yago/AmericanComposers,132,,,,,
http://umbel.org/umbel/rc/Actor,130,,,,,
http://dbpedia.org/class/yago/English-languageSingers,128,,,,,
http://dbpedia.org/ontology/Building,124,,,,,
http://dbpedia.org/ontology/River,124,,,,,
http://dbpedia.org/class/yago/AmericanRecordProducers,118,,,,,
http://dbpedia.org/class/yago/MusiciansFromCalifornia,117,,,,,
http://dbpedia.org/class/yago/AtlanticRecordsArtists,116,,,,,
http://dbpedia.org/class/yago/AmericanDanceMusicians,114,,,,,
http://dbpedia.org/class/yago/AmericanFemaleGuitarists,111,,,,,
http://dbpedia.org/class/yago/AmericanSoulSingers,111,,,,,
http://dbpedia.org/ontology/BaseballPlayer,109,,,,,
http://dbpedia.org/class/yago/20th-centuryClassicalComposers,109,,,,,
http://dbpedia.org/ontology/TelevisionShow,107,,,,,
http://dbpedia.org/class/yago/FemaleRockSingers,106,,,,,
http://dbpedia.org/class/yago/EnglishFemaleSingers,105,,,,,
http://dbpedia.org/class/yago/CanadianMaleSingers,105,,,,,
http://dbpedia.org/class/yago/AmericanFolkSingers,105,,,,,
http://dbpedia.org/class/yago/AfricanAmericanSingers,105,,,,,
http://dbpedia.org/ontology/University,104,,,,,
http://dbpedia.org/ontology/team,103,,,,,
http://dbpedia.org/class/yago/AfricanAmericanRappers,102,,,,,
http://dbpedia.org/ontology/School,101,,,,,
http://dbpedia.org/class/yago/ColumbiaRecordsArtists,93,,,,,
http://dbpedia.org/class/yago/CapitalsInEurope,92,,,,,
http://dbpedia.org/class/yago/CanadianFemaleSingers,91,,,,,
http://www.wikidata.org/entity/Q5,91,,,,,
http://dbpedia.org/class/yago/LGBTMusiciansFromTheUnitedStates,90,,,,,
http://dbpedia.org/ontology/EducationalInstitution,90,,,,,
http://dbpedia.org/class/yago/OperaComposers,90,,,,,
http://dbpedia.org/class/yago/AmericanJazzPianists,90,,,,,
http://dbpedia.org/class/yago/AmericanBluesSingers,89,,,,,
http://dbpedia.org/ontology/Artist,89,,,,,
http://dbpedia.org/ontology/Station,87,,,,,
http://dbpedia.org/class/yago/AmericanMusiciansOfItalianDescent,82,,,,,
http://dbpedia.org/class/yago/MercuryRecordsArtists,82,,,,,
http://dbpedia.org/ontology/starring,80,,,,,
http://dbpedia.org/class/yago/RCAVictorArtists,80,,,,,
http://schema.org/Movie,80,,,,,
http://www.wikidata.org/ontology#Statement,80,,,,,
http://dbpedia.org/ontology/areaMetro,77,,,,,
http://dbpedia.org/ontology/ChemicalSubstance,77,,,,,
http://dbpedia.org/ontology/area,76,,,,,
http://dbpedia.org/class/yago/JewishAmericanMusicians,76,,,,,
http://dbpedia.org/ontology/areaUrban,76,,,,,
http://dbpedia.org/ontology/FictionalCharacter,76,,,,,
http://www.wikidata.org/entity/Q4167836,76,,,,,
http://dbpedia.org/class/yago/AmericanIndieRockGroups,76,,,,,
http://dbpedia.org/ontology/areaTotal,76,,,,,
http://dbpedia.org/ontology/SoccerClub,75,,,,,
http://dbpedia.org/class/yago/EnglishPopSingers,75,,,,,
http://yago-knowledge.org/resource/CapitalsInEurope,75,,,,,
http://dbpedia.org/ontology/LaunchPad,74,,,,,
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#ChemicalObject,74,,,,,
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,73,,,,,
http://dbpedia.org/ontology/Athlete,73,,,,,
http://dbpedia.org/class/yago/AmericanMusiciansOfIrishDescent,72,,,,,
http://dbpedia.org/ontology/Game,72,,,,,
http://dbpedia.org/class/yago/AmericanPianists,71,,,,,
http://dbpedia.org/ontology/Image,71,,,,,
http://dbpedia.org/class/yago/EnglishRockGuitarists,69,,,,,
http://dbpedia.org/class/yago/AmericanJazzSingers,69,,,,,
http://dbpedia.org/class/yago/AmericanSessionMusicians,69,,,,,
http://dbpedia.org/class/yago/AmericanBluesGuitarists,69,,,,,
http://dbpedia.org/ontology/Island,69,,,,,
http://xmlns.com/foaf/0.1/Document,68,,,,,
http://dbpedia.org/class/yago/LandlockedCountries,68,,,,,
http://dbpedia.org/class/yago/AmericanJazzComposers,67,,,,,
http://dbpedia.org/ontology/ChemicalCompound,67,,,,,
http://dbpedia.org/class/yago/PeopleFromBrooklyn,66,,,,,
http://dbpedia.org/class/yago/AmericanSoulMusicians,66,,,,,
http://dbpedia.org/class/yago/FemaleJazzMusicians,66,,,,,
http://dbpedia.org/class/yago/MusiciansFromNewYork,65,,,,,
http://dbpedia.org/class/yago/CanadianRockSingers,65,,,,,
http://dbpedia.org/class/yago/AmericanPunkRockGroups,64,,,,,
http://dbpedia.org/class/yago/French-languageSingers,64,,,,,
http://dbpedia.org/class/yago/RomanticComposers,64,,,,,
http://dbpedia.org/ontology/Language,64,,,,,
http://dbpedia.org/class/yago/AmericanChildSingers,64,,,,,
http://dbpedia.org/class/yago/MusiciansFromNewYorkCity,63,,,,,
http://dbpedia.org/class/yago/BritishNewWaveMusicalGroups,63,,,,,
http://dbpedia.org/class/yago/AmericanVoiceActors,62,,,,,
http://dbpedia.org/ontology/Scientist,62,,,,,
http://dbpedia.org/class/yago/City108524735,62,,,,,
http://umbel.org/umbel/rc/Actress,62,,,,,
http://dbpedia.org/class/yago/MusiciansFromToronto,62,,,,,
http://dbpedia.org/ontology/IceHockeyPlayer,61,,,,,
http://dbpedia.org/class/yago/PeopleFromLosAngeles,California,61,,,,
http://dbpedia.org/ontology/Fish,61,,,,,
http://www.wikidata.org/ontology#Article,61,,,,,
http://www.wikidata.org/ontology#Item,61,,,,,
http://dbpedia.org/class/yago/GermanComposers,61,,,,,
http://dbpedia.org/class/yago/NaturalizedCitizensOfTheUnitedStates,60,,,,,
http://dbpedia.org/class/yago/CanadianPopSingers,60,,,,,
http://dbpedia.org/ontology/Mountain,60,,,,,
http://dbpedia.org/class/yago/EnglishRockSingers,60,,,,,
http://dbpedia.org/class/yago/AfricanAmericanFemaleSingers,60,,,,,
http://dbpedia.org/class/yago/BaroqueComposers,60,,,,,
http://dbpedia.org/class/yago/MusiciansFromLondon,59,,,,,
http://dbpedia.org/ontology/MilitaryUnit,59,,,,,
http://dbpedia.org/class/yago/ClubDJs,58,,,,,
http://dbpedia.org/class/yago/ItalianComposers,58,,,,,
http://dbpedia.org/ontology/Swimmer,58,,,,,
http://dbpedia.org/class/yago/AmericanPerformersOfChristianMusic,58,,,,,
http://dbpedia.org/class/yago/AmericanCountryGuitarists,57,,,,,
http://dbpedia.org/ontology/Species,57,,,,,
http://dbpedia.org/class/yago/AmericanMusicians,57,,,,,
http://dbpedia.org/class/yago/VirginRecordsArtists,57,,,,,
http://dbpedia.org/class/yago/MusiciansFromTexas,57,,,,,
http://dbpedia.org/ontology/Lake,57,,,,,
http://dbpedia.org/class/yago/SlideGuitarists,56,,,,,
http://dbpedia.org/class/yago/AmericanPeopleOfIrishDescent,56,,,,,
http://dbpedia.org/class/yago/AmericanChildActors,56,,,,,
http://dbpedia.org/class/yago/AmericanHeavyMetalGuitarists,55,,,,,
http://dbpedia.org/class/yago/21st-centuryClassicalComposers,54,,,,,
