classes,count
http://xmlns.com/foaf/0.1/Document,12278144
http://www.w3.org/2002/07/owl#Thing,8504080
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,3246633
http://dbpedia.org/ontology/Image,2753930
http://wikidata.dbpedia.org/ontology/Image,2753930
http://xmlns.com/foaf/0.1/Person,2703489
http://schema.org/Person,2702559
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson,2702559
http://www.wikidata.org/entity/Q215627,2702559
http://www.wikidata.org/entity/Q5,2702559
http://www.w3.org/2004/02/skos/core#Concept,2577793
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,1905940
http://dbpedia.org/ontology/Agent,1809486
http://dbpedia.org/ontology/Person,1767264
http://schema.org/Place,1613081
http://wikidata.dbpedia.org/ontology/Agent,1453754
http://wikidata.dbpedia.org/ontology/Person,1184747
http://dbpedia.org/ontology/TimePeriod,1060823
http://dbpedia.org/dbtax/Redirect,1018050
http://www.wikidata.org/entity/Q486972,1007025
http://schema.org/CreativeWork,943694
http://www.wikidata.org/entity/Q386724,943694
http://dbpedia.org/ontology/Place,925349
http://dbpedia.org/ontology/CareerStation,920488
http://dbpedia.org/ontology/Location,816236
http://wikidata.dbpedia.org/ontology/Location,796845
http://wikidata.dbpedia.org/ontology/Place,796845
http://dbpedia.org/dbtax/List,764231
http://dbpedia.org/ontology/List,764231
http://www.wikidata.org/entity/Q19088,587705
http://dbpedia.org/ontology/Settlement,586301
http://dbpedia.org/ontology/Work,571807
http://schema.org/Organization,544075
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#SocialPerson,544075
http://www.wikidata.org/entity/Q43229,544075
http://dbpedia.org/ontology/PopulatedPlace,508414
http://wikidata.dbpedia.org/ontology/PopulatedPlace,501471
http://wikidata.dbpedia.org/ontology/Settlement,468698
http://www.wikidata.org/entity/Q729,451306
http://wikidata.dbpedia.org/ontology/Work,450996
http://www.wikidata.org/entity/Q2188189,388995
http://dbpedia.org/ontology/Athlete,371803
http://dbpedia.org/ontology/Organisation,359452
http://www.wikidata.org/entity/Q532,332042
http://wikidata.dbpedia.org/ontology/Athlete,328754
http://dbpedia.org/ontology/SportsTeamMember,323445
http://dbpedia.org/ontology/OrganisationMember,323111
http://dbpedia.org/ontology/Species,301715
http://wikidata.dbpedia.org/ontology/Species,299393
http://dbpedia.org/ontology/Eukaryote,298347
http://wikidata.dbpedia.org/ontology/Eukaryote,293120
http://dbpedia.org/dbtax/Page,291525
http://dbpedia.org/dbtax/Diacritic,288896
http://dbpedia.org/dbtax/Place,285867
http://dbpedia.org/dbtax/Work,279072
http://wikidata.dbpedia.org/ontology/Organisation,269007
http://schema.org/MusicAlbum,262839
http://www.wikidata.org/entity/Q482994,262839
http://www.wikidata.org/entity/Q1390,261475
http://dbpedia.org/dbtax/Establishment,253662
http://dbpedia.org/ontology/Village,243122
http://dbpedia.org/ontology/Animal,227963
http://wikidata.dbpedia.org/ontology/Animal,225043
http://www.wikidata.org/entity/Q937857,221571
http://dbpedia.org/ontology/SoccerPlayer,220908
http://schema.org/Movie,212363
http://dbpedia.org/ontology/MusicalWork,203375
http://dbpedia.org/ontology/ArchitecturalStructure,193486
