Concept,count
http://xmlns.com/foaf/0.1/Document,16078097
http://dbpedia.org/ontology/Image,11222246
http://www.w3.org/2002/07/owl#Thing,5275003
http://dbpedia.org/ontology/Person,2178290
http://www.w3.org/2004/02/skos/core#Concept,2102614
http://xmlns.com/foaf/0.1/Person,1730027
http://schema.org/Person,1730027
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,1235103
http://dbpedia.org/ontology/Place,782367
http://dbpedia.org/ontology/Location,737512
http://schema.org/Place,737512
http://dbpedia.org/ontology/Settlement,650326
http://schema.org/CreativeWork,603110
http://dbpedia.org/ontology/Athlete,558099
http://dbpedia.org/ontology/PersonFunction,536248
http://dbpedia.org/ontology/SportsTeamMember,423201
http://dbpedia.org/ontology/Organisation,404188
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#SocialPerson,339928
http://schema.org/Organization,339928
http://dbpedia.org/ontology/Tenure,308048
http://dbpedia.org/ontology/Village,298297
http://dbpedia.org/ontology/Album,191345
http://dbpedia.org/ontology/Politician,182591
http://dbpedia.org/ontology/Film,169017
http://dbpedia.org/ontology/Building,165147
http://schema.org/MusicAlbum,157137
http://dbpedia.org/ontology/Company,146871
http://schema.org/Movie,142135
http://dbpedia.org/ontology/MusicalArtist,123295
http://dbpedia.org/ontology/Event,122225
http://schema.org/Event,120686
http://dbpedia.org/ontology/PoliticalFunction,105940
http://dbpedia.org/ontology/Artist,103687
http://schema.org/MusicGroup,101264
http://www.wikidata.org/entity/Q1390,97783
http://dbpedia.org/ontology/Station,90717
http://dbpedia.org/ontology/Band,89293
http://dbpedia.org/ontology/SportsSeason,88145
http://dbpedia.org/ontology/WrittenWork,85912
http://dbpedia.org/ontology/TelevisionShow,84232
http://dbpedia.org/ontology/SoccerClub,82267
http://dbpedia.org/ontology/Town,77626
http://dbpedia.org/ontology/Song,76757
http://schema.org/MusicRecording,75802
http://dbpedia.org/ontology/Book,74172
http://schema.org/Product,73486
http://schema.org/EducationalOrganization,64474
http://dbpedia.org/ontology/Single,62200
http://dbpedia.org/ontology/Software,58988
http://dbpedia.org/ontology/SportsEvent,58241
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,55845
http://dbpedia.org/ontology/AdministrativeRegion,55694
http://dbpedia.org/ontology/School,53681
http://dbpedia.org/ontology/Plant,49659
http://dbpedia.org/ontology/Writer,49573
http://schema.org/AdministrativeArea,49236
http://schema.org/LandmarksOrHistoricalBuildings,49046
http://schema.org/SportsEvent,48347
http://dbpedia.org/ontology/MilitaryPerson,47857
http://dbpedia.org/ontology/BodyOfWater,46909
http://schema.org/BodyOfWater,46278
http://purl.org/ontology/bibo/Book,45629
http://schema.org/Book,45629
http://dbpedia.org/ontology/University,45438
http://dbpedia.org/ontology/Ship,45063
http://dbpedia.org/ontology/FootballLeagueSeason,43111
http://dbpedia.org/class/yago/WikicatAmericanPeople,42773
http://dbpedia.org/ontology/MilitaryUnit,41267
http://dbpedia.org/ontology/HistoricPlace,38539
http://dbpedia.org/ontology/City,38119
http://schema.org/School,37582
http://dbpedia.org/ontology/Road,34223
http://dbpedia.org/ontology/Device,34023
http://dbpedia.org/ontology/VideoGame,33905
http://dbpedia.org/ontology/Mountain,31913
http://dbpedia.org/ontology/NCAATeamSeason,31750
http://dbpedia.org/ontology/MilitaryConflict,31071
http://dbpedia.org/ontology/Election,29412
http://dbpedia.org/ontology/AmericanFootballPlayer,29399
http://dbpedia.org/ontology/SportsTeam,27780
http://dbpedia.org/ontology/RadioStation,27001
http://dbpedia.org/ontology/AutomobileEngine,26045
http://schema.org/Mountain,24989
http://dbpedia.org/ontology/SoccerTournament,24432
http://dbpedia.org/ontology/RugbyPlayer,24221
http://www.wikidata.org/entity/Q1092563,24121
http://dbpedia.org/ontology/Cleric,23742
http://dbpedia.org/ontology/Sound,23478
http://dbpedia.org/ontology/RecordLabel,22124
http://schema.org/RadioStation,21732
http://dbpedia.org/ontology/PoliticalParty,21140
http://dbpedia.org/ontology/Royalty,20931
http://schema.org/City,20826
http://dbpedia.org/ontology/MotorsportSeason,20654
http://dbpedia.org/ontology/Engine,19657
http://dbpedia.org/ontology/Airport,18890
http://dbpedia.org/class/yago/WikicatAmericanFilms,18805
http://dbpedia.org/ontology/Disease,17956
http://dbpedia.org/ontology/Venue,17878
http://dbpedia.org/class/yago/WikicatTheFootballLeaguePlayers,17816
http://dbpedia.org/ontology/Award,17704
http://dbpedia.org/ontology/SoccerClubSeason,17631
http://www.wikidata.org/entity/Q25326,17567
http://dbpedia.org/ontology/Automobile,17451
http://dbpedia.org/ontology/HistoricBuilding,17311
http://dbpedia.org/ontology/Protein,17084
http://dbpedia.org/ontology/Activity,16851
http://www.ontologydesignpatterns.org/ont/d0.owl#Activity,16851
http://www.wikidata.org/entity/Q1914636,16851
http://dbpedia.org/ontology/Lake,16757
http://dbpedia.org/ontology/ChemicalCompound,16496
http://dbpedia.org/ontology/Language,15625
http://schema.org/Airport,15393
http://dbpedia.org/ontology/Aircraft,15309
http://dbpedia.org/ontology/ProtectedArea,15043
http://www.wikidata.org/entity/Q194189,14450
http://dbpedia.org/ontology/Sales,14450
http://dbpedia.org/ontology/MusicGenre,13921
http://www.wikidata.org/entity/Q13414980,13874
http://dbpedia.org/class/yago/WikicatAssociationFootballDefenders,13828
http://dbpedia.org/class/yago/WikicatAssociationFootballForwards,13581
http://dbpedia.org/ontology/Museum,13186
http://dbpedia.org/ontology/Food,12841
http://dbpedia.org/ontology/TelevisionEpisode,12735
http://dbpedia.org/ontology/TelevisionStation,12538
http://dbpedia.org/ontology/HumanGene,12517
http://dbpedia.org/ontology/Newspaper,12245
http://dbpedia.org/ontology/Weapon,11770
http://schema.org/SportsTeam,11758
http://dbpedia.org/ontology/EthnicGroup,11479
http://dbpedia.org/ontology/Artwork,11473
http://dbpedia.org/ontology/ReligiousBuilding,11461
http://dbpedia.org/ontology/GovernmentAgency,10940
http://dbpedia.org/ontology/Drug,10912
http://dbpedia.org/ontology/Fungus,10698
http://dbpedia.org/ontology/AcademicJournal,10536
http://dbpedia.org/ontology/RailwayLine,10516
http://schema.org/TVEpisode,10265
http://dbpedia.org/ontology/Magazine,10170
http://dbpedia.org/ontology/CityDistrict,10032
http://schema.org/Language,9997
http://dbpedia.org/class/yago/WikicatAmericanMaleFilmActors,9787
http://dbpedia.org/ontology/PowerStation,9724
http://dbpedia.org/class/yago/WikicatAmericanLawyers,8984
http://dbpedia.org/class/yago/WikicatAmericanActors,8823
http://www.wikidata.org/entity/Q23442,8551
http://dbpedia.org/ontology/MilitaryStructure,8397
http://dbpedia.org/ontology/TennisTournament,8166
http://dbpedia.org/class/yago/WikicatAmericanMaleTelevisionActors,8122
http://dbpedia.org/ontology/TelevisionSeason,8122
http://dbpedia.org/ontology/Comic,8093
http://dbpedia.org/ontology/Bridge,7564
http://dbpedia.org/ontology/Website,7447
http://dbpedia.org/ontology/RacingDriver,7431
http://dbpedia.org/class/yago/WikicatAmericanFilmActresses,7278
http://dbpedia.org/class/yago/WikicatAmericanMusicians,7219
http://dbpedia.org/class/yago/WikicatAssociationFootballGoalkeepers,7166
http://dbpedia.org/ontology/Olympics,7077
http://dbpedia.org/ontology/Park,6985
http://schema.org/Park,6909
http://dbpedia.org/ontology/Hospital,6746
http://dbpedia.org/ontology/FootballMatch,6701
