11query5615.sparql;1882;105929;34334758;105914;112
11query4793.sparql;924;65401;31422095;65369;1439
11query5450.sparql;-1;-1;-1;-1;-1
11query4626.sparql;1635;127025;33932583;95558;925180
11query2269.sparql;-1;-1;-1;-1;-1
11query2491.sparql;-1;-1;-1;-1;-1
11query4162.sparql;1001;63847;31706794;63733;5801
11query5616.sparql;1882;117971;34334758;117966;112
11query57.sparql;15;17773;19935207;17773;5
12query83.sparql;-1;-1;-1;-1;-1
11query5406.sparql;5281;235016;68777365;234815;302
11query5042.sparql;5169;274550;66636807;274534;328
11query3492.sparql;1090;64734;31107847;64733;6
11query3824.sparql;787;48605;30248941;48605;2
11query1003.sparql;-1;-1;-1;-1;-1
11query3247.sparql;772;46920;30197397;0;0
11query5693.sparql;-1;-1;-1;-1;-1
11query1398.sparql;-1;-1;-1;-1;-1
11query2317.sparql;-1;-1;-1;-1;-1
1query163.sparql;-1;-1;-1;-1;-1
11query4675.sparql;879;59581;34473903;59569;895
11query1018.sparql;-1;-1;-1;-1;-1
11query2488.sparql;-1;-1;-1;-1;-1
11query118.sparql;13;15552;19945257;15552;18
11query1840.sparql;-1;-1;-1;-1;-1
11query2286.sparql;-1;-1;-1;-1;-1
12query209.sparql;912;58906;31348579;58893;967
11query3510.sparql;682;58439;29324180;0;0
11query3212.sparql;1350;69782;32475460;69773;272
11query2128.sparql;-1;-1;-1;-1;-1
11query3013.sparql;1350;72638;32484055;72630;272
11query2815.sparql;-1;-1;-1;-1;-1
11query240.sparql;13;17232;19931969;17232;11
11query4288.sparql;927;52230;31490052;52159;3648
11query4427.sparql;940;53010;31444729;52942;3576
1query92.sparql;-1;-1;-1;-1;-1
11query2373.sparql;-1;-1;-1;-1;-1
11query2520.sparql;-1;-1;-1;-1;-1
12query203.sparql;927;29218;31430691;29124;4449
11query2267.sparql;7;7316;13537321;0;0
11query1462.sparql;16675;234351;111400400;233954;8595
11query5005.sparql;1413;61790;30420687;61787;82
11query3454.sparql;807;27795;30654086;0;0
11query2564.sparql;-1;-1;-1;-1;-1
11query2087.sparql;30155;257907;424599853;57987;86
11query1196.sparql;19193;49382;127793361;48918;23460
11query4816.sparql;869;8508;31230226;8497;854
11query4253.sparql;901;8697;31467958;8585;5596
11query5846.sparql;1882;11254;34334758;11249;112
11query4963.sparql;2637;14937;41924139;14929;168
